seed,success,iterations,elapsed_time
10,0,25,583.51
6,0,25,468.06
7,0,25,592.47
8,0,25,460.69
9,1,20,330.49
11,0,25,453.90
12,1,9,119.83
13,0,25,457.25
14,0,25,211.41
15,1,4,11.73
16,0,25,574.79
17,0,25,740.67
18,1,4,11.25
19,1,14,170.94
20,1,24,402.76
21,1,4,21.39
22,0,25,877.01
23,1,4,35.48
24,0,25,485.25
25,0,8,78.86
26,0,25,342.44
27,0,25,432.97
28,0,7,80.58
29,0,25,375.85
30,1,4,11.64
31,0,25,440.10
32,0,25,618.75
33,1,4,12.02
34,1,4,11.62
35,1,16,264.54
36,0,25,307.78
37,1,10,117.08
38,0,25,329.46
39,0,25,367.69
40,1,12,102.32
41,0,25,402.65
42,1,5,20.37
43,1,17,281.84
44,0,25,430.39
45,1,9,45.92
46,0,25,675.41
47,1,5,16.62
48,1,11,77.33
49,1,8,40.93
50,1,4,14.33